precio,tipo_propiedad,superficie,habitaciones,baños,latitud,longitud,ubicacion,precio_m2,densidad_habitaciones
28000.0,piso,53.0,2,1,37.0029758,-2.9444622,Paterna del Río,528.3018867924528,0.03773584905660377
28000.0,piso,45.0,3,1,36.8386811,-2.4777538,calle Juan Goytisolo,622.2222222222222,0.06666666666666667
28000.0,casa_rural,177.0,3,2,37.3955628,-2.3637434,calle Fraile Pepe,158.19209039548022,0.01694915254237288
28000.0,casa_rural,100.0,1,1,37.4721406,-1.9161777,calle Tomilloso,280.0,0.01
28000.0,chalet,105.0,3,2,37.3310532,-2.3039673,Macael,266.6666666666667,0.02857142857142857
28000.0,piso,76.0,2,1,36.7619358,-2.6236536,calle General Castaños,368.42105263157896,0.02631578947368421
28000.0,piso,112.0,3,2,36.7624807,-2.6219811,calle Pedro Salinas,250.0,0.026785714285714284
28000.0,piso,82.0,3,2,37.3540464,-2.2960096,calle Miguel de Unamuno,341.4634146341463,0.036585365853658534
28000.0,casa_rural,135.0,3,1,37.3575072,-2.2989511,Olula del Río,207.40740740740742,0.022222222222222223
28000.0,chalet,69.0,2,1,37.2930155,-1.8788961,calle las Lisas,405.7971014492754,0.028985507246376812
28000.0,chalet,99.0,3,1,36.8437898,-2.9482073,calle el Fuerte,282.82828282828285,0.030303030303030304
28000.0,chalet,110.0,3,2,37.3471806,-2.5084019,Seron,254.54545454545453,0.02727272727272727
28000.0,chalet,91.0,2,2,36.8406383,-2.4781644,La Chanca - Pescadería,307.6923076923077,0.02197802197802198
28000.0,casa_rural,64.0,2,2,36.8421713,-2.4749841,"calle Navegante, 7",437.5,0.03125
28400.0,chalet,102.0,4,2,37.140808,-2.7765032,Abla,278.4313725490196,0.0392156862745098
28500.0,piso,49.0,2,1,37.0398149,-2.7452506,calle Mengemor,581.6326530612245,0.04081632653061224
28500.0,piso,49.0,2,1,37.03795,-2.74769,calle Mengemor,581.6326530612245,0.04081632653061224
28500.0,piso,74.0,1,1,36.8109081,-2.6282555,avenida del Guadalquivir,385.13513513513516,0.013513513513513514
28500.0,chalet,169.0,3,1,37.342002,-2.512322,"calle Bacares, 14",168.63905325443787,0.01775147928994083
28500.0,piso,105.0,3,1,36.765248,-2.6230638,"Leon Felipe, 6",271.42857142857144,0.02857142857142857
28500.0,piso,75.0,2,2,36.8110814,-2.6285393,La Gangosa,380.0,0.02666666666666667
28500.0,piso,62.0,2,1,36.8098518,-2.6296617,avenida del Guadalquivir,459.6774193548387,0.03225806451612903
28500.0,piso,114.0,3,1,37.3323574,-2.3056994,"calle Huertos, 37",250.0,0.02631578947368421
28600.0,piso,69.0,3,1,36.7719667,-2.8188014,Barrio Ejido centro,414.4927536231884,0.043478260869565216
28944.0,piso,92.0,3,2,36.7573004,-2.6531188,"calle Joselito, 4 -2",314.60869565217394,0.03260869565217391
